window_start_ms,window_end_ms,label,capture_role,plc_ip,session_id,host_id,scenario_id,episode_id,opcua_packet_count,opcua_byte_count,opcua_frame_len_mean,opcua_frame_len_std,opcua_unique_src_ip_count,opcua_unique_dst_ip_count,opcua_unique_tcp_stream_count,opcua_hel_count,opcua_opn_count,opcua_msg_count,opcua_clo_count,opcua_err_count,opcua_status_good_count,opcua_status_uncertain_count,opcua_status_bad_count,opcua_get_endpoints_count,opcua_open_secure_channel_count,opcua_close_secure_channel_count,opcua_create_session_count,opcua_activate_session_count,opcua_close_session_count,opcua_browse_count,opcua_read_count,opcua_write_count,opcua_create_subscription_count,opcua_create_monitored_items_count,opcua_max_create_session_by_single_src,opcua_max_browse_by_single_src
1786292735000,1786292740000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28224,133.132,33.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292740000,1786292745000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33682,134.728,34.531,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292745000,1786292750000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,248,33658,135.718,35.158,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292750000,1786292755000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28224,133.132,33.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292755000,1786292760000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33658,133.563,33.486,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292760000,1786292765000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28512,134.491,37.263,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292765000,1786292770000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,248,33514,135.137,33.623,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292770000,1786292775000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33658,133.563,33.486,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292775000,1786292780000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,208,28128,135.231,34.355,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292780000,1786292785000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,244,33102,135.664,35.416,2,2,1,0,0,108,0,0,54,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
